"packageid","title","keywords","abstract"
"edi.1000","The ecocomDP Annotation Dictionary","support package,semantic web,annotations","
    This data package contains a comprehensive set of semantic
    annotations (URIs and labels) from datasets in the ecocomDP format
    published in EDI. The table of annotations, referred to as the
    ecocomDP Annotation Dictionary, can be viewed in RStudio using the
    view_annotation_dictionary function of the ecocomDP R package.
  "
"edi.1015","Herbivore dung and parasite counts, Ol Pejeta Conservancy and Mpala Research Centre, Kenya (2015-2018)","Mpala Research Centre,Ol Pejeta Conservancy,parasite,water sources,aridity,aggregation,Kenya,watering hole,cattle,elephant,zebra,impala,giraffe,buffalo,herbivore,rainfall","Data package contains two datasets of dung surveys, one dataset of parasite egg measurements, and two camera trap datasets collected from Mpala Research Centre and Ol Pejeta Conservancy, Laikipia County, Kenya from November 2015-September 2018. Datasets are provided as part of the publication `Watering sources aggregate parasites with increasing effects in more arid conditions`. Source data files for figures in the manuscript are also provided here.
"
"edi.1019","Invasive grass litter suppresses a native grass species and promotes disease","litter,competition,invasive species,disease","Plant litter can alter ecosystems and promote plant invasions by altering resource availability, depositing phytotoxins, and transmitting microorganisms to living plants. Transmission of microorganisms from invasive plant litter to live plants may gain importance as invasive plants, which often escape pathogens upon introduction to a new range, acquire new pathogens over time. It is unclear, however, if invasive plant litter affects native plant communities by promoting disease. Microstegium vimineum is an invasive grass that suppresses native populations, in part through litter production, and has acquired new fungal leaf spot diseases since its introduction to the United States. In a greenhouse experiment, we evaluated how M. vimineum litter and its pathogens mediated competition with the native grass Elymus virginicus. Microstegium vimineum litter promoted disease on E. virginicus and suppressed establishment and biomass of both species. Litter had stronger negative effects on E. virginicus than M. vimineum, increasing the relative biomass of M. vimineum. Live plant competition reduced biomass of both species and live M. vimineum increased disease incidence on E. virginicus. Altogether, invasive grass litter suppressed both species, ultimately favoring the invasive species in competition, and increased disease incidence on the native species."
"edi.1021","Macrosystems EDDIE Module 5: Introduction to Ecological Forecasting (Instructor Materials)","","Ecological forecasting is a tool that can be used for understanding and predicting changes in populations, communities, and ecosystems. Ecological forecasting is an emerging approach which provides an estimate of the future state of an ecological system with uncertainty, allowing society to prepare for changes in important ecosystem services. Ecological forecasters develop and update forecasts using the iterative forecasting cycle, in which they make a hypothesis of how an ecological system works; embed their hypothesis in a model; and use the model to make a forecast of future conditions. When observations become available, they can assess the accuracy of their forecast, which indicates if their hypothesis is supported or needs to be updated before the next forecast is generated.In this Macrosystems EDDIE (Environmental Data-Driven Inquiry & Exploration) module, students will apply the iterative forecasting cycle to develop an ecological forecast for a National Ecological Observation Network (NEON) site. Students will use NEON data to build an ecological model that predicts primary productivity. Using their calibrated model, they will learn about the different components of a forecast with uncertainty and compare productivity forecasts among NEON sites.The overarching goal of this module is for students to learn fundamental concepts about ecological forecasting and build a forecast for a NEON site. Students will work with an R Shiny interface to visualize data, build a model, generate a forecast with uncertainty, and then compare the forecast with observations. The A-B-C structure of this module makes it flexible and adaptable to a range of student levels and course structures.This EDI data package contains instructional materials and the files necessary to teach the module. Readers are referred to the Zenodo data package (Moore et al. 2022; DOI: 10.5281/zenodo.6587161) for the R Shiny application code needed to run the module locally."
"edi.103","Habitat corridors alter relative trophic position of fire ants","SRS Corridor,connectivity,corridor,fire ant,fragmentation,patch shape,plant diversity,Solenopsis invicta,stable isotope analysis,trophic structure","
  Habitat fragmentation disrupts species movement, leading to local
  extinctions and altered community structure. Habitat corridors, which
  connect isolated patches of habitat and facilitate movement between
  patches, provide a potential solution to these negative impacts.
  However, most studies to date have examined the movement of species
  alone without considering emergent effects on the community (e.g.,
  altered trophic structure). We use large-scale, experimental
  landscapes and nitrogen stable isotopes ratios (delta-N-15) of a
  common generalist consumer (the fire ant, Solenopsis invicta) to
  determine how corridors affect trophic structure. Thus, because the
  fire ant is a species whose trophic position is flexible and whose
  diet typically reflects local prey availability, we assume that shifts
  in fire ants' trophic position between connected and isolated patches
  are likely to reflect shifts in patch trophic structure. We found that
  colonies in isolated patches had lower means and ranges of delta-N-15
  than colonies in otherwise similar connected patches, suggesting that
  corridors may increase fire ants' trophic position and breadth,
  respectively. Previous work in our landscapes documented higher
  species richness of plants in connected than unconnected patches.
  Patch means of ant delta-N-15 were positively correlated with plant
  richness, suggesting that increased plant richness may influence the
  observed responses in fire ant delta-N-15. Together these results
  suggest that fragmentation may reduce trophic position and narrow
  trophic breadth of dietary generalists such as the fire ant. These
  shifts likely reflect an alteration of food webs in isolated patches.
  Our results suggest that corridors may be effective in preventing or
  reducing such alterations.
"
"edi.106","Effects of Corridors on Genetics of a Butterfly in a Landscape Experiment","SRS Corridor,butterflies,habitat corridors,population genetics,genetic variation,conservation biology,ecological genetics,genetic loci,genetic structures,gene flow,habitat conservation","
  To investigate the possible role of landscape connectivity on the
  genetic structure of isolated populations, we examined the effects of
  habitat corridors on the population genetics of a vagile butterfly
  species, Junonia coenia, within a largescale, experimental system.
  Using allozyme electrophoresis, a total of nine loci were identified
  and scored, six of which exhibited polymorphism. Our data demonstrated
  consistently higher levels of expected (He) and observed (Ho)
  heterozygosity in butterflies sampled from patches connected by
  corridors compared to unconnected patches. A t-test comparing He and
  Ho in connected versus unconnected patches found a marginally
  significant difference in one locus, the glycolytic enzyme
  phosphoglucose isomerase (PGI). Connected patches exhibited overall
  lower FST values compared to unconnected patches, indicating
  potentially increased levels of gene flow due to corridors. Our
  results support previous investigations on dispersal and population
  size for J. coenia, and show that higher dispersal through corridors
  promotes genetic variability at a locus (PGI) implicated in dispersal
  and fitness in butterflies.
"
"edi.1063","Microclimatic data trials for various fabrics","microclimate,shelter,fabric","Data from lab trials examining various microclimatic parameters such as humidity, light intensity, and temperature under various fabrics such as nursery, canvas, and burlap. Data was collected using pendant loggers."
"edi.1065","Entomological identification of the cadaver fauna of wolf and lynx carcasses in Germany between 2014-2021","Forensic entomology,Carrion insects,Species conservation,Central Europe,Loss of Biodiversity,Red-listed species,Cadaver fauna,Decomposition stages,Veterinary pathology,Germany","The frequency of illegal killings of animals that are under special protection in Germany is continuously increasing. Especially the carnivores wolf and lynx are strongly threatened by humans. To counteract these developments, it is necessary to investigate and prosecute such offenses. An important clue for police investigations is the time of death of the deceased animal. Forensic entomology makes use of the knowledge of temperature-dependent development rates as well as succession patterns of necrophagous flies and beetles and to determine an approximate time of death. While the carcass fauna of other species as well as humans is well studied, the composition of insects on wolves and lynx worldwide has not yet been deciphered. The aim of this work is to investigate the carcass fauna of wolf and lynx. For this purpose, the species composition of insects from 70 wolf carcasses and 8 lynx carcasses was analysed with respect to different habitat types, decomposition stages, and seasons. This data set provides extensive knowledge of the arthropod fauna on wolf and lynx carcasses.      The frequency of illegal killings of animals that are under special protection in Germany is continuously increasing. Especially the carnivores wolf and lynx are strongly threatened by humans. To counteract these developments, it is necessary to investigate and prosecute such offenses. An important clue for police investigations is the time of death of the deceased animal. Forensic entomology makes use of the knowledge of temperature-dependent development rates as well as succession patterns of necrophagous flies and beetles and to determine an approximate time of death. While the carcass fauna of other species as well as humans is well studied, the composition of insects on wolves and lynx worldwide has not yet been deciphered. The aim of this work is to investigate the carcass fauna of wolf and lynx. For this purpose, the species composition of insects from 70 wolf carcasses and 8 lynx carcasses was analysed with respect to different habitat types, decomposition
      stages, and seasons. This data set provides extensive knowledge of the arthropod fauna on wolf and lynx carcasses.
"
"edi.1106","Macrosystems EDDIE Module 8: Using Ecological Forecasts to Guide Decision-Making (Instructor Materials)","","Because of increased variability in populations, communities, and ecosystems due to land use and climate change, there is a pressing need to know the future state of ecological systems across space and time. Ecological forecasting is an emerging approach which provides an estimate of the future state of an ecological system with uncertainty, allowing society to preemptively prepare for fluctuations in important ecosystem services. However, forecasts must be effectively designed and communicated to those who need them to make decisions in order to realize their potential for protecting natural resources.In this module, students will explore real ecological forecast visualizations, identify ways to represent uncertainty, make management decisions using forecast visualizations, and learn decision support techniques. Lastly, students customize a forecast visualization for a specific stakeholder's decision needs.The overarching goal of this module is for students to understand how forecasts are connected to decision-making of stakeholders, or the managers, policy-makers, and other members of society who use forecasts to inform decision-making. The A-B-C structure of this module makes it flexible and adaptable to a range of student levels and course structures.This EDI data package contains instructional materials and the files necessary to teach the module. Readers are referred to the Zenodo data package (Woelmer et al. 2022; DOI: 10.5281/zenodo.7074674) for the R Shiny application code needed to run the module locally."
"edi.1118","Standardized NEON organismal data (neonDivData)","NEON,National Ecological Observatory Network,herptiles,mosquitoes,tick pathogens,ticks,organisms,biodiversity,algae,beetles,birds,fishes,macroinvertebrates,plants,small mammals,zooplankton","
    To standardize NEON organismal data for major taxonomic groups, we
    first systematically reviewed NEON’s documentations for each
    taxonomic group. We then discussed as a group and with NEON staff to
    decide how to wrangle and standardize NEON organismal data. See Li
    et al. 2022 for more details. All R code to process NEON data
    products can be obtained through the R package ‘ecocomDP’. Once the
    data are in ecocomDP format, we further processed them to convert
    them into long data frames with code on Github
    (https://github.com/daijiang/neonDivData/tree/master/data-raw),
    which is also archived here.
  "
