search_term,ontology_id,ontology_term,ontology_comment,envThes_uri,envThes_term,envThes_comment,envo_id,envo_term,,suggested level 1,suggested level 2,suggested level 3
agriculture,OMIT_0001811,Agriculture,,http://vocabs.lter-europe.net/EnvThes/21605,agriculture,,ENVO_01001442,agriculture,,agriculture,,
biogeochemistry,,,,http://vocabs.lter-europe.net/EnvThes/21609,biogeochemistry,,,,,biogeochemistry,,
ocean biogeochemistry,,,,,,,,,,biogeochemistry,,
biogeography,,,,http://vocabs.lter-europe.net/EnvThes/21738,biogeography,,,,,biogeography,,
biology,OMIT_0003056,Biology,,http://vocabs.lter-europe.net/EnvThes/21611,biology,,,,,biology,,
chemistry,OMIT_0003947,Chemistry,,http://vocabs.lter-europe.net/EnvThes/21656,chemistry,,,,,chemistry,,
soil chemistry,,,,http://vocabs.lter-europe.net/EnvThes/21660,soil chemistry,,,,,chemistry,,
soil solution chemistry,,,,http://vocabs.lter-europe.net/EnvThes/21661,soil solution composition,,,,,chemistry,,
water chemistry,,,,http://vocabs.lter-europe.net/EnvThes/21662,water chemistry,,,,,chemistry,water chemistry,
climate change,OMIT_0026935,Climate Change,is a process,http://vocabs.lter-europe.net/EnvThes/21754,climate change,,ENVO_01000629,climate change,,climatology,climate change,
climatology,,,,http://vocabs.lter-europe.net/EnvThes/21753,climatology,,,,,climatology,,
stream ecology,,,,http://vocabs.lter-europe.net/EnvThes/72,stream ecology,,,,,ecology,aquatic ecology,stream ecology
biodiversity,OMIT_0023500,Biodiversity,,http://vocabs.lter-europe.net/EnvThes/21673,biodiversity,,,,,ecology,biodiversity,
community dynamics,PCO_0000004,quality of an ecological community,,http://vocabs.lter-europe.net/EnvThes/21680,community dynamics,,,,,ecology,community ecology,
forest dynamics,,,,http://vocabs.lter-europe.net/EnvThes/21696,forest dynamics,,,,,ecology,community ecology,
forest ecology,,,,http://vocabs.lter-europe.net/EnvThes/21693,forest ecology,,,,,ecology,community ecology,
plant species composition,,,,http://vocabs.lter-europe.net/EnvThes/21680,community dynamics,,,,,ecology,community ecology,species diversity
species diversity,PCO_0000019,community species diversity,,http://vocabs.lter-europe.net/EnvThes/21679,species diversity,,,,,ecology,community ecology,species diversity
species richness,PCO_0000010,community species richness,,http://vocabs.lter-europe.net/EnvThes/22287,species richness,,,,,ecology,community ecology,species richness
successional dynamics,,,,http://vocabs.lter-europe.net/EnvThes/21681,successional dynamics,,,,,ecology,community ecology,successional dynamics
trophic dynamics,,,,http://vocabs.lter-europe.net/EnvThes/21682,trophic dynamics,,,,,ecology,community ecology,trophic dynamics
vegetation dynamics,,,,http://vocabs.lter-europe.net/EnvThes/21711,vegetation dynamics,,,,,ecology,community ecology,vegetation dynammics
conservation,,,,http://vocabs.lter-europe.net/EnvThes/21663,conservation,,ENVO_01001171,conservation-focused active ecosystem management process,is a process,ecology,conservation,
demography,OMIT_0004989,Demography,,http://vocabs.lter-europe.net/EnvThes/21670,demography,,,,,ecology,demography,
dendrochronology,,,,http://vocabs.lter-europe.net/EnvThes/21612,dendrochronology,,,,,ecology,dendrochronology,
ecology,OMIT_0005715,Ecology,,http://vocabs.lter-europe.net/EnvThes/21672,ecology,,,,,ecology,,
plant ecology,,,,http://vocabs.lter-europe.net/EnvThes/21710,plant ecology,,,,,ecology,,
ecosystem ecology,,,,http://vocabs.lter-europe.net/EnvThes/21689,ecosystem ecology,,,,,ecology,ecosystem ecology,
limnology,OMIT_0026554,Limnology,,http://vocabs.lter-europe.net/EnvThes/21749,limnology,,,,,ecology,aquatic ecology,limnology
paleoecology,,,,http://vocabs.lter-europe.net/EnvThes/21706,paleoecology,,,,,ecology,paleoecology,
paleolimnology,,,,http://vocabs.lter-europe.net/EnvThes/21750,paleolimnology,,,,,ecology,aquatic ecology,paleolimnology
genetics,OMIT_0007019,Genetics,,http://vocabs.lter-europe.net/EnvThes/21613,genetics,,,,,genetics,,
genomics,OMIT_0007019,Genetics,,http://vocabs.lter-europe.net/EnvThes/21613,genetics,,,,,genetics,,
geography,OMIT_0007038,Geography,,http://vocabs.lter-europe.net/EnvThes/21737,geography,,,,,geography,,
geology,OMIT_0007039,Geology,,http://vocabs.lter-europe.net/EnvThes/21740,geology,,,,,geology,,
geomorphology,,,,http://vocabs.lter-europe.net/EnvThes/21741,geomorphology,,,,,geomorphology,,
history,OMIT_0007819,History,,http://vocabs.lter-europe.net/EnvThes/21743,history,,,,,history,,
historical,OMIT_0007819,History,,http://vocabs.lter-europe.net/EnvThes/21743,history,,,,,history,,
land use history,,,,http://vocabs.lter-europe.net/EnvThes/21744,land use history,,,,,history,landuse history,
hydrology,OMIT_0028040,Hydrology,,http://vocabs.lter-europe.net/EnvThes/21747,hydrology,,,,,hydrology,,
meteorology,OMIT_0026522,Meteorology,,http://vocabs.lter-europe.net/EnvThes/21752,meteorology,,,,,meteorology,,
morphometrics,,,,,,,,,,morphometrics,,
oceanography,OMIT_0010809,oceanography,,http://vocabs.lter-europe.net/EnvThes/21759,oceanography,,,,,oceanography,,
paleontology,OMIT_0011166,Paleontology,,,,,,,,paleontology,,
phenology,,,,http://vocabs.lter-europe.net/EnvThes/21647,phenology,,,,,phenology,,
physiology,OMIT_0011805,physiology,,http://vocabs.lter-europe.net/EnvThes/21651,physiology,,,,,physiology,,
